txn_id,account_id,posted_date,amount,merchant,mcc,category_lvl1,category_lvl2
T90047,751619622667,2024-11-15,2670.19,Employer,PAY,Income,Salary
T86195,260518779946,2024-11-29,2237.35,Employer,PAY,Income,Salary
T87155,144622577625,2024-11-02,-2451.0,LandlordRent,HOU,Housing,Rent
T56296,260518779946,2024-11-19,-92.9,Grocer,GRS,Food,Groceries
T59297,260518779946,2024-11-25,-25.16,Grocer,GRS,Food,Groceries
T01656,751619622667,2024-11-14,-107.33,Grocer,GRS,Food,Groceries
T03294,144622577625,2024-11-13,-56.2,Grocer,GRS,Food,Groceries
T69653,260518779946,2024-11-08,-71.19,Grocer,GRS,Food,Groceries
T10613,751619622667,2024-11-24,-94.88,Grocer,GRS,Food,Groceries
T57364,260518779946,2024-11-10,-58.92,Grocer,GRS,Food,Groceries
T87329,144622577625,2024-11-13,-71.45,Grocer,GRS,Food,Groceries
T67454,144622577625,2024-11-13,-16.24,Restaurant,DIN,Food,Dining
T15169,144622577625,2024-11-07,-44.1,Restaurant,DIN,Food,Dining
T15480,260518779946,2024-11-15,-47.61,Restaurant,DIN,Food,Dining
T42961,751619622667,2024-11-08,-109.57,Pepco,UTL,Utilities,Pepco
T12312,144622577625,2024-11-13,-71.76,Verizon,UTL,Utilities,Verizon
T56252,260518779946,2024-12-15,2363.38,Employer,PAY,Income,Salary
T13554,144622577625,2024-12-29,1883.51,Employer,PAY,Income,Salary
T43608,260518779946,2024-12-02,-2479.0,LandlordRent,HOU,Housing,Rent
T34933,751619622667,2024-12-05,-95.89,Grocer,GRS,Food,Groceries
T60472,144622577625,2024-12-15,-114.44,Grocer,GRS,Food,Groceries
T77160,260518779946,2024-12-06,-86.14,Grocer,GRS,Food,Groceries
T77397,260518779946,2024-12-15,-33.68,Grocer,GRS,Food,Groceries
T05800,260518779946,2024-12-08,-83.27,Grocer,GRS,Food,Groceries
T00462,260518779946,2024-12-14,-110.53,Grocer,GRS,Food,Groceries
T04459,260518779946,2024-12-15,-50.38,Grocer,GRS,Food,Groceries
T46081,144622577625,2024-12-20,-75.95,Grocer,GRS,Food,Groceries
T12157,751619622667,2024-12-16,-12.37,Restaurant,DIN,Food,Dining
T50602,260518779946,2024-12-26,-54.72,Restaurant,DIN,Food,Dining
T43953,751619622667,2024-12-26,-17.19,Restaurant,DIN,Food,Dining
T88880,751619622667,2024-12-08,-23.57,Restaurant,DIN,Food,Dining
T53617,751619622667,2024-12-19,-14.87,Restaurant,DIN,Food,Dining
T53138,144622577625,2024-12-11,-28.55,Restaurant,DIN,Food,Dining
T81945,260518779946,2024-12-13,-117.53,Pepco,UTL,Utilities,Pepco
T80615,751619622667,2024-12-13,-139.2,Verizon,UTL,Utilities,Verizon
T38765,260518779946,2025-01-15,2056.36,Employer,PAY,Income,Salary
T99712,260518779946,2025-01-29,2907.84,Employer,PAY,Income,Salary
T28016,751619622667,2025-01-02,-2596.0,LandlordRent,HOU,Housing,Rent
T85989,144622577625,2025-01-06,-112.97,Grocer,GRS,Food,Groceries
T84268,144622577625,2025-01-10,-83.65,Grocer,GRS,Food,Groceries
T66691,260518779946,2025-01-12,-22.88,Grocer,GRS,Food,Groceries
T37667,144622577625,2025-01-22,-89.48,Grocer,GRS,Food,Groceries
T23055,260518779946,2025-01-12,-106.71,Grocer,GRS,Food,Groceries
