customer_id,first_name,last_name,dob,country,state,zip,household_id,marital_status,dependents_cnt,education_level,student_status,citizenship_status,kyc_verified_bool,consent_data_sharing_bool,created_at,savings_rate_target,base_salary_annual,fico_baseline,cc_util_baseline,persona_type
C001,Maya,Patel,1999-06-27,USA,MD,20814,H001,single,0,Bachelors,grad,resident,True,True,2025-10-12,0.057,73000,686,0.58,general
C002,Lucas,Nguyen,1999-02-24,USA,VA,22202,H001,cohabiting,2,Bachelors,current,immigrant,True,True,2025-10-12,0.114,91000,739,0.16,aspiring_homebuyer_moderate_savings
C003,Aisha,Khan,1997-12-18,USA,MD,20814,H002,single,0,Bachelors,current,resident,True,True,2025-10-12,0.049,51000,580,0.61,general
C004,Daniel,Rivera,1998-06-21,USA,MD,20814,H002,single,0,Bachelors,grad,resident,True,True,2025-10-12,0.005,68000,680,0.51,general
C005,Zoe,Chen,1995-08-30,USA,DC,20052,H003,single,0,Bachelors,grad,resident,True,True,2025-10-12,0.004,65000,697,0.69,general
C006,Omar,Hassan,1995-02-04,USA,MD,20814,H003,cohabiting,0,Bachelors,grad,resident,True,True,2025-10-12,0.061,57000,696,0.46,general
C007,Elena,Rossi,2001-09-15,USA,MD,20814,H004,married,0,Masters,current,immigrant,True,True,2025-10-12,0.302,105000,792,0.07,general
C008,Noah,Kim,2001-06-01,USA,VA,22202,H004,married,0,Masters,grad,resident,True,True,2025-10-12,0.074,51000,587,0.65,credit_card_juggler
C009,Priya,Menon,2000-08-24,USA,MD,20814,H005,single,0,Bachelors,grad,resident,True,True,2025-10-12,0.347,119000,796,0.08,consistent_saver_idle_cash
C010,Rafael,Oliveira,1999-08-26,USA,VA,22202,H005,married,1,Masters,current,resident,True,True,2025-10-12,0.023,46000,581,0.65,freelancer_income_volatility
C011,Sophia,Williams,2003-07-02,USA,MD,20814,H006,single,0,Bachelors,grad,resident,True,True,2025-10-12,0.075,69000,711,0.36,high_spending_student_debtor
C012,Oliver,Johansson,2002-04-14,USA,VA,22202,H006,cohabiting,0,Masters,current,immigrant,True,True,2025-10-12,0.111,91000,733,0.29,freelancer_income_volatility
C013,Fatima,Al-Sayed,2004-12-04,USA,DC,20052,H007,single,2,Bachelors,current,resident,True,True,2025-10-12,0.126,88000,702,0.29,credit_card_juggler
C014,Liam,O'Connor,2001-03-28,USA,VA,22202,H007,single,0,Masters,grad,resident,True,True,2025-10-12,0.089,66000,718,0.18,high_spending_student_debtor
C015,Hana,Suzuki,2002-02-17,USA,MD,20814,H008,single,0,Bachelors,grad,resident,True,True,2025-10-12,0.037,52000,669,0.48,aspiring_homebuyer_moderate_savings
C016,Marcus,Brown,2004-05-12,USA,VA,22202,H008,single,1,Masters,grad,resident,True,True,2025-10-12,0.142,87000,752,0.21,general
C017,Natalia,Petrova,1999-01-19,USA,DC,20052,H009,single,1,Bachelors,grad,resident,True,True,2025-10-12,0.0,52000,608,0.68,consistent_saver_idle_cash
C018,Diego,Alvarez,1999-02-04,USA,MD,20814,H009,married,0,Bachelors,current,resident,True,True,2025-10-12,0.015,69000,658,0.47,general
